Time - Plot 0,Amplitude - Plot 0
8.8124,0.342663
8.8128,0.345075
8.8132,0.342663
8.8136,0.342663
8.814,0.342663
8.8144,0.340251
8.8148,0.342663
8.8152,0.340251
8.8156,0.342663
8.816,0.340251
8.8164,0.342663
8.8168,0.342663
8.8172,0.342663
8.8176,0.342663
8.818,0.342663
8.8184,0.340251
8.8188,0.340251
8.8192,0.340251
8.8196,0.340251
8.82,0.342663
8.8204,0.342663
8.8208,0.345075
8.8212,0.342663
8.8216,0.342663
8.822,0.342663
8.8224,0.342663
8.8228,0.342663
8.8232,0.340251
8.8236,0.342663
8.824,0.340251
8.8244,0.340251
8.8248,0.340251
8.8252,0.342663
8.8256,0.345075
8.826,0.342663
8.8264,0.342663
8.8268,0.342663
8.8272,0.342663
8.8276,0.340251
8.828,0.340251
8.8284,0.340251
8.8288,0.342663
8.8292,0.342663
8.8296,0.342663
8.83,0.342663
8.8304,0.342663
8.8308,0.342663
8.8312,0.340251
8.8316,0.340251
8.832,0.340251
8.8324,0.340251
8.8328,0.340251
8.8332,0.340251
8.8336,0.340251
8.834,0.340251
8.8344,0.342663
8.8348,0.342663
8.8352,0.342663
8.8356,0.342663
8.836,0.342663
8.8364,0.340251
8.8368,0.342663
8.8372,0.340251
8.8376,0.342663
8.838,0.342663
8.8384,0.342663
8.8388,0.342663
8.8392,0.340251
8.8396,0.340251
8.84,0.340251
8.8404,0.340251
8.8408,0.340251
8.8412,0.340251
8.8416,0.340251
8.842,0.340251
8.8424,0.340251
8.8428,0.342663
8.8432,0.342663
8.8436,0.345075
8.844,0.340251
8.8444,0.340251
8.8448,0.340251
8.8452,0.340251
8.8456,0.342663
8.846,0.342663
8.8464,0.342663
8.8468,0.345075
8.8472,0.345075
8.8476,0.342663
8.848,0.342663
8.8484,0.342663
8.8488,0.342663
8.8492,0.342663
8.8496,0.340251
8.85,0.340251
8.8504,0.342663
8.8508,0.342663
8.8512,0.342663
8.8516,0.342663
8.852,0.342663
8.8524,0.342663
8.8528,0.342663
8.8532,0.340251
8.8536,0.340251
8.854,0.340251
8.8544,0.342663
8.8548,0.342663
8.8552,0.342663
8.8556,0.342663
8.856,0.342663
8.8564,0.340251
8.8568,0.340251
8.8572,0.340251
8.8576,0.342663
8.858,0.342663
8.8584,0.342663
8.8588,0.342663
8.8592,0.342663
8.8596,0.342663
8.86,0.337839
8.8604,0.342663
8.8608,0.340251
8.8612,0.342663
8.8616,0.340251
8.862,0.340251
8.8624,0.342663
8.8628,0.342663
8.8632,0.342663
8.8636,0.342663
8.864,0.340251
8.8644,0.340251
8.8648,0.340251
8.8652,0.342663
8.8656,0.342663
8.866,0.342663
8.8664,0.342663
8.8668,0.342663
8.8672,0.342663
8.8676,0.342663
8.868,0.342663
8.8684,0.342663
8.8688,0.340251
8.8692,0.340251
8.8696,0.340251
8.87,0.340251
8.8704,0.345075
8.8708,0.345075
8.8712,0.342663
8.8716,0.342663
8.872,0.340251
8.8724,0.340251
8.8728,0.340251
8.8732,0.340251
8.8736,0.340251
8.874,0.340251
8.8744,0.340251
8.8748,0.340251
8.8752,0.342663
8.8756,0.342663
8.876,0.342663
8.8764,0.340251
8.8768,0.342663
8.8772,0.345075
8.8776,0.342663
8.878,0.340251
8.8784,0.342663
8.8788,0.345075
8.8792,0.345075
8.8796,0.345075
8.88,0.342663
8.8804,0.342663
8.8808,0.342663
8.8812,0.342663
8.8816,0.340251
8.882,0.342663
8.8824,0.340251
8.8828,0.340251
8.8832,0.342663
8.8836,0.342663
8.884,0.342663
8.8844,0.342663
8.8848,0.342663
8.8852,0.342663
8.8856,0.340251
8.886,0.340251
8.8864,0.340251
8.8868,0.340251
8.8872,0.342663
8.8876,0.342663
8.888,0.340251
8.8884,0.342663
8.8888,0.340251
8.8892,0.342663
8.8896,0.342663
8.89,0.342663
8.8904,0.342663
8.8908,0.342663
8.8912,0.340251
8.8916,0.340251
8.892,0.337839
8.8924,0.342663
8.8928,0.342663
8.8932,0.345075
8.8936,0.342663
8.894,0.342663
8.8944,0.342663
8.8948,0.342663
8.8952,0.340251
8.8956,0.340251
8.896,0.340251
8.8964,0.340251
8.8968,0.340251
8.8972,0.342663
8.8976,0.342663
8.898,0.342663
8.8984,0.342663
8.8988,0.340251
8.8992,0.342663
8.8996,0.340251
8.9,0.340251
8.9004,0.342663
8.9008,0.342663
8.9012,0.342663
8.9016,0.342663
8.902,0.345075
8.9024,0.345075
8.9028,0.345075
8.9032,0.342663
8.9036,0.342663
8.904,0.340251
8.9044,0.340251
8.9048,0.342663
8.9052,0.342663
8.9056,0.342663
8.906,0.342663
8.9064,0.342663
8.9068,0.340251
8.9072,0.340251
8.9076,0.340251
8.908,0.340251
8.9084,0.340251
8.9088,0.340251
8.9092,0.342663
8.9096,0.342663
8.91,0.345075
8.9104,0.342663
8.9108,0.340251
8.9112,0.342663
8.9116,0.340251
8.912,0.340251
8.9124,0.342663
8.9128,0.342663
8.9132,0.345075
8.9136,0.342663
8.914,0.340251
8.9144,0.342663
8.9148,0.340251
8.9152,0.340251
8.9156,0.340251
8.916,0.342663
8.9164,0.342663
8.9168,0.340251
8.9172,0.340251
8.9176,0.340251
8.918,0.342663
8.9184,0.342663
8.9188,0.342663
8.9192,0.342663
8.9196,0.342663
8.92,0.342663
8.9204,0.340251
8.9208,0.340251
8.9212,0.342663
8.9216,0.342663
8.922,0.342663
8.9224,0.342663
8.9228,0.342663
8.9232,0.342663
8.9236,0.342663
8.924,0.342663
8.9244,0.342663
8.9248,0.340251
8.9252,0.340251
8.9256,0.340251
8.926,0.342663
8.9264,0.342663
